Supplier,Email,Full Name,Billing Address,Phone,Deleted,Tax Id,Balance,Last Modified By,Supplier Display Name,Created Date,Last Modified Date
DENNIS KISAWAYI,,,,,False,,,Mary Wangeci,DENNIS KISAWAYI,2024-02-08T09:31:21,2024-02-08T09:31:21
DEUTSCHE POINT,,,,,False,,,Mary Wangeci,DEUTSCHE POINT,2024-03-08T10:57:49,2024-03-08T10:57:49
DHL P000613307I,,,,,False,,,Mary Wangeci,DHL P000613307I,2023-09-05T10:08:56,2023-09-05T10:08:56
Diamond Parcels,,Diamond  Parcels,,,False,,,Samuel Muchemi,Diamond Parcels,2022-09-28T18:17:45,2022-09-28T18:17:45
DIGISONIC CONTROLS,,DIGISONIC  CONTROLS,,,False,,,Samuel Muchemi,DIGISONIC CONTROLS,2022-09-28T18:17:45,2022-09-28T18:17:45
DIMKA POWER SYSTEM LTD P051384463H,,,,,False,,,Mary Wangeci,DIMKA POWER SYSTEM LTD P051384463H,2023-09-05T07:41:47,2023-09-05T07:41:47
Donholm Service Station P051579092Z,,Donholm Service Station P051579092Z,,,False,,,Mary Wangeci,Donholm Service Station P051579092Z,2022-11-03T13:09:09,2022-11-03T13:09:09
DOUBLE M GENERAL HARDWARE,,DOUBLE M GENERAL HARDWARE,,,False,,,Mary Wangeci,DOUBLE M GENERAL HARDWARE,2023-03-29T15:39:22,2023-03-29T15:39:22
Dr.George-FAO,,Dr.George-FAO,,,False,,,Mary Wangeci,Dr.George-FAO,2026-03-03T13:10:09,2026-03-03T13:10:09
Dr Muchemi,,Dr Muchemi,,,False,,658925.0,Sheila Maina,Dr Muchemi,2022-11-08T12:01:28,2023-05-03T10:01:31
Dr.Shephered -Icipe,,Dr.Shephered  -Icipe,,,False,,,Mary Wangeci,Dr.Shephered -Icipe,2026-03-03T13:09:02,2026-03-03T13:09:02
D TECK ELECTRONICS,,D TECK  ELECTRONICS,,,False,,,Mary Wangeci,D TECK ELECTRONICS,2025-09-05T12:22:33,2025-09-05T12:22:33
Dubai Dogo Motorcycle Spares,,Dubai Dogo Motorcycle Spares,,,False,,,Samuel Muchemi,Dubai Dogo Motorcycle Spares,2022-09-28T18:17:46,2022-09-28T18:17:46
DUDUTECH IPM LTD,info@dudutech.com,,,+254 704491120,False,,,Sheila Maina,DUDUTECH IPM LTD,2023-12-01T15:23:24,2023-12-18T11:04:43
DUESTCHE POINT,,,,,False,,,Mary Wangeci,DUESTCHE POINT,2024-01-12T08:22:34,2024-01-12T08:22:34
DUETSCHE POINT,,DUETSCHE POINT,,,False,,,Mary Wangeci,DUETSCHE POINT,2023-06-12T15:32:18,2023-06-12T15:32:18
DUNFEATHER ENTERPRISES LTD,,DUNFEATHER ENTERPRISES LTD,,,False,,,Samuel Muchemi,DUNFEATHER ENTERPRISES LTD,2022-09-28T18:17:46,2022-09-28T18:17:46
DUNSTAN ADONGO,,DUNSTAN  ADONGO,,,False,,,Samuel Muchemi,DUNSTAN ADONGO,2022-09-28T18:17:46,2022-09-28T18:17:46
DUTSCHE POINT AUTO SPARES,,,,,False,,,Mary Wangeci,DUTSCHE POINT AUTO SPARES,2023-06-29T08:44:21,2023-06-29T08:44:21
DYER & BLAIR INVESTMENT BANK,,,,,False,,,Mary Wangeci,DYER & BLAIR INVESTMENT BANK,2023-10-31T10:29:19,2023-10-31T10:29:19
EAK SCIENTIFIC EXHIBITION,,,,,False,,,Mary Wangeci,EAK SCIENTIFIC EXHIBITION,2024-06-07T10:23:50,2024-06-07T10:23:50
East African business company P051354695O,,,,,False,,,Mary Wangeci,East African business company P051354695O,2023-07-14T10:27:25,2025-04-09T12:27:41
Eastern Bypass Service Station A003170430U,,,,,False,,,Mary Wangeci,Eastern Bypass Service Station A003170430U,2024-01-12T09:33:31,2024-01-12T09:33:31
Easy Coach,,Easy  Coach,,,False,,,Samuel Muchemi,Easy Coach,2022-09-28T18:17:46,2022-09-28T18:17:46
EASY REACH AUTOMOBILES LIMITED P051161349Z,,EASY REACH AUTOMOBILES LIMITED,,,False,,,Mary Wangeci,EASY REACH AUTOMOBILES LIMITED P051161349Z,2025-08-07T09:50:46,2025-08-07T09:50:46
E-CITIZEN,,,,,False,,,Mary Wangeci,E-CITIZEN,2023-11-23T09:08:54,2023-11-23T09:08:54
ECONOMICAL HARDWARE SALES AND SUPPLY,,ECONOMICAL HARDWARE SALES AND SUPPLY,,,False,,,Samuel Muchemi,ECONOMICAL HARDWARE SALES AND SUPPLY,2022-09-28T18:17:46,2022-09-28T18:17:46
ECONOMY AUTO SPARES,,ECONOMY AUTO SPARES,,,False,,,Samuel Muchemi,ECONOMY AUTO SPARES,2022-09-28T18:17:46,2022-09-28T18:17:46
EDWARD MWANGI NGARI,,,,,False,,,Mary Wangeci,EDWARD MWANGI NGARI,2023-11-02T08:53:26,2023-11-02T08:53:26
EFFECTIVE IPM ASSOCIATION,info@e-ipma.org,,,0706966980,False,,-7310.0,Sheila Maina,EFFECTIVE IPM ASSOCIATION,2024-04-15T15:10:20,2024-10-14T12:14:04
ELAN HOME FIBER,,,,,False,,,Mary Wangeci,ELAN HOME FIBER,2023-08-04T10:08:44,2023-08-04T10:08:44
ELECTRO AUTO PARTS,,ELECTRO AUTO PARTS,,,False,,,Mary Wangeci,ELECTRO AUTO PARTS,2025-06-05T11:18:17,2025-06-05T11:18:17
ELECTRO AUTO SPARES,,ELECTRO AUTO SPARES,,,False,,,Samuel Muchemi,ELECTRO AUTO SPARES,2022-09-28T18:17:46,2022-09-28T18:17:46
Electro  System Ltd P051100894V,,Electro System Ltd P051100894V,,,False,,,Samuel Muchemi,Electro  System Ltd P051100894V,2022-09-28T18:17:46,2022-09-28T18:17:46
ELGON VIEW TOTAL ENERGIES A002675157E,,ELGON VIEW TOTAL ENERGIES A002675157E,,,False,,,Mary Wangeci,ELGON VIEW TOTAL ENERGIES A002675157E,2023-03-29T15:23:38,2023-03-29T15:23:38
E-LINK,,E-LINK,,,False,,,Mary Wangeci,E-LINK,2022-11-07T14:48:41,2022-11-07T14:48:41
ELISON HARDWARE,,,,,False,,,Mary Wangeci,ELISON HARDWARE,2023-08-02T08:55:06,2023-08-02T08:55:06
Embu Service Station P000625466D,,Embu Service Station P000625466D,,,False,,,Samuel Muchemi,Embu Service Station P000625466D,2022-09-28T18:17:46,2022-09-28T18:17:46
Emirates Coach,,Emirates  Coach,,,False,,,Samuel Muchemi,Emirates Coach,2022-09-28T18:17:46,2022-09-28T18:17:46
EMMANUEL FADHILI,,EMMANUEL  FADHILI,,,False,,,Mary Wangeci,EMMANUEL FADHILI,2025-12-11T10:38:37,2025-12-11T10:38:37
EMS ENERGY LIMITED P051566597C,,,,,False,,,Mary Wangeci,EMS ENERGY LIMITED P051566597C,2023-11-16T12:50:35,2023-11-16T12:50:35
English point,,,,,False,,,Mary Wangeci,English point,2023-08-02T08:05:09,2023-08-02T08:05:09
ENJOY AGRICULTURE TECHNOLOGY CO.LTD,,,,,False,,,Mary Wangeci,ENJOY AGRICULTURE TECHNOLOGY CO.LTD,2023-07-03T09:59:36,2023-07-03T09:59:36
Enkasiti S,,,,,False,,,Mary Wangeci,Enkasiti S,2025-02-05T09:02:57,2025-02-05T09:02:57
EQUILRXNLAB TECHNOLOGY LTD,,EQUILRXNLAB TECHNOLOGY LTD,,,False,,,Mary Wangeci,EQUILRXNLAB TECHNOLOGY LTD,2026-04-07T12:02:28,2026-04-07T12:02:28
Erick Black Petal,,,,,False,,,Mary Wangeci,Erick Black Petal,2025-02-05T09:59:04,2025-02-05T09:59:04
ERICK MUTAI,,ERICK  MUTAI,,,False,,,Samuel Muchemi,ERICK MUTAI,2022-09-28T18:17:46,2022-09-28T18:17:46
ESSIBILITY AFRICA LIMITED,,,,,False,,,Mary Wangeci,ESSIBILITY AFRICA LIMITED,2026-08-04T12:24:44,2026-08-04T12:24:44
ESWA GENERAL SUPPLIES,,,,,False,,,Mary Wangeci,ESWA GENERAL SUPPLIES,2023-09-07T10:24:07,2023-09-07T10:24:07
EUNICE -DUMMEN,,EUNICE  -DUMMEN,,,False,,,Mary Wangeci,EUNICE -DUMMEN,2025-06-30T10:16:46,2025-06-30T10:16:46
Everflora Sales,,Everflora  Sales,,,False,,,Mary Wangeci,Everflora Sales,2025-09-04T14:53:17,2025-09-04T14:53:17
EVERGREEN EVER LTD P051232459A,,,,,False,,,Mary Wangeci,EVERGREEN EVER LTD P051232459A,2024-07-30T11:38:05,2024-07-30T11:38:05
EVERSTONE TYRES LTD,,EVERSTONE TYRES LTD,,,False,,,Mary Wangeci,EVERSTONE TYRES LTD,2023-05-16T11:12:39,2023-05-16T11:12:39
Experts Cars Accessories,,,,,False,,,Mary Wangeci,Experts Cars Accessories,2024-01-11T12:25:06,2024-01-11T12:25:06
EXPRESS IDEMNITY INSURANCE,,EXPRESS IDEMNITY INSURANCE,,,False,,,Mary Wangeci,EXPRESS IDEMNITY INSURANCE,2023-02-20T11:42:22,2023-02-20T11:42:22
EXQUEEN TRADERS,,,,,False,,,Mary Wangeci,EXQUEEN TRADERS,2023-10-31T07:48:56,2023-10-31T07:48:56
Fadhil Auto Spares,,Fadhil Auto Spares,,,False,,,Samuel Muchemi,Fadhil Auto Spares,2022-09-28T18:17:47,2022-09-28T18:17:47
FAIR DEAL STEEL LIMITED,,FAIR DEAL STEEL LIMITED,,,False,,,Mary Wangeci,FAIR DEAL STEEL LIMITED,2025-03-10T10:07:54,2025-03-10T10:07:54
Faith-Arise N Shine,,,,,False,,,Mary Wangeci,Faith-Arise N Shine,2024-12-10T14:40:24,2024-12-10T14:40:24
FALCON AUTOEXPRESS SERVICES LTD,,FALCON AUTOEXPRESS SERVICES LTD,,,False,,,Samuel Muchemi,FALCON AUTOEXPRESS SERVICES LTD,2022-09-28T18:17:47,2022-09-28T18:17:47
Fargo Courier,,Fargo  Courier,,,False,,,Samuel Muchemi,Fargo Courier,2022-09-28T18:17:47,2022-09-28T18:17:47
Farmtrack Consulting Ltd,farmtrack.consulting@gmail.com,Farmtrack Consulting Ltd FTC,"FTC Godown, Njiru, Mwiki-Kasarani Road
P.O Box 16372 Nairobi  00100 Kenya",+254 20 2628630,False,,-1361038.96,Sheila Maina,Farmtrack Consulting Ltd,2022-11-17T16:05:00,2026-08-28T12:55:08
FastGate Cargo,,FastGate  Cargo,,,False,,,Samuel Muchemi,FastGate Cargo,2022-09-28T18:17:47,2022-09-28T18:17:47
FASTMART SUPERMARKET P051673084N,,FASTMART SUPERMARKET P051673084N,,,False,,,Mary Wangeci,FASTMART SUPERMARKET P051673084N,2023-05-24T15:27:38,2023-05-24T15:27:38
FAWAKIH EXPORTERS,,,,,False,,,Mary Wangeci,FAWAKIH EXPORTERS,2024-03-28T12:12:56,2024-03-28T12:12:56
Fedex Express,,Fedex Express,,,False,,,Mary Wangeci,Fedex Express,2022-12-02T10:08:02,2022-12-02T10:08:02
FELISTAR SIMLAW SEEDS,,,,,False,,,Mary Wangeci,FELISTAR SIMLAW SEEDS,2026-08-04T11:44:27,2026-08-04T11:44:27
FIDEL-ICIPE,,FIDEL-ICIPE,,,False,,,Mary Wangeci,FIDEL-ICIPE,2023-04-27T14:43:13,2023-04-27T14:43:13
FIDEL OMONDI,,FIDEL  OMONDI,,,False,,,Mary Wangeci,FIDEL OMONDI,2025-04-01T11:47:07,2025-04-01T11:47:07
FIFA HOLDINGS LTD P051449496A,,FIFA HOLDINGS LTD P051449496A,,,False,,,Mary Wangeci,FIFA HOLDINGS LTD P051449496A,2022-12-02T12:40:56,2022-12-02T12:40:56
FINE MARK ENGINEERING SERVICES,,FINE MARK ENGINEERING SERVICES,,,False,,,Mary Wangeci,FINE MARK ENGINEERING SERVICES,2025-03-10T10:05:11,2025-03-10T10:05:11
Fine Touch Media P051384437V,,Fine Touch Media P051384437V,,,False,,,Samuel Muchemi,Fine Touch Media P051384437V,2022-09-28T18:17:47,2022-09-28T18:17:47
FIRST WORTH PRODUCTS P051346573M,,,,,False,,,Mary Wangeci,FIRST WORTH PRODUCTS P051346573M,2023-10-31T08:19:48,2023-10-31T08:19:48
FOGO GAUCHO P051212272T,,FOGO GAUCHO P051212272T,,,False,,,Mary Wangeci,FOGO GAUCHO P051212272T,2023-04-28T11:59:55,2023-04-28T11:59:55
FOOTHILL WAKS FIRM A004678299X,,,,,False,,,Mary Wangeci,FOOTHILL WAKS FIRM A004678299X,2023-09-07T16:29:38,2023-09-07T16:29:38
Fortress Energy Ltd,,Fortress Energy Ltd,,,False,,,Samuel Muchemi,Fortress Energy Ltd,2022-09-28T18:17:47,2022-09-28T18:17:47
FOSSIL GROUP LTD,,,,,False,,,Mary Wangeci,FOSSIL GROUP LTD,2023-10-31T10:04:52,2023-10-31T10:04:52
Fouzi tyres,,Fouzi  tyres,,,False,,,Samuel Muchemi,Fouzi tyres,2022-09-28T18:17:47,2022-09-28T18:17:47
FREDRICK KOOME,,FREDRICK  KOOME,,,False,,,Samuel Muchemi,FREDRICK KOOME,2022-09-28T18:17:47,2022-09-28T18:17:47
FREIGHT IN TIME,,,,,False,,,Mary Wangeci,FREIGHT IN TIME,2024-04-03T10:43:58,2024-04-03T10:43:58
FREKAGE HARDWARE,,FREKAGE  HARDWARE,,,False,,,Samuel Muchemi,FREKAGE HARDWARE,2022-09-28T18:17:47,2022-09-28T18:17:47
FTC NJIRU PLOT,,FTC NJIRU PLOT,,,False,,,Samuel Muchemi,FTC NJIRU PLOT,2022-09-28T18:17:47,2022-09-28T18:17:47
FTC SACCO,,FTC  SACCO,,,False,,-88500.0,Samuel Muchemi,FTC SACCO,2022-09-28T18:17:47,2023-04-04T10:56:34
Fuel line  & Gen supplies P051834600Z,,Fuel line & Gen supplies P051834600Z,,,False,,,Samuel Muchemi,Fuel line  & Gen supplies P051834600Z,2022-09-28T18:17:47,2022-09-28T18:17:47
Fuel Trust Limited P051706625J,,Fuel Trust Limited P051706625J,,,False,,,Samuel Muchemi,Fuel Trust Limited P051706625J,2022-09-28T18:17:48,2022-09-28T18:17:48
Fun Filled Distributors,,Fun Filled Distributors,,,False,,,Samuel Muchemi,Fun Filled Distributors,2022-09-28T18:17:48,2022-09-28T18:17:48
FURQAN PETROLEUM LIMITED P051695568A,,,,,False,,,Mary Wangeci,FURQAN PETROLEUM LIMITED P051695568A,2024-02-06T15:27:44,2024-02-06T15:27:44
G4S,,,,,False,,,Mary Wangeci,G4S,2024-12-10T15:13:16,2024-12-10T15:13:16
G4S Courier Services,,G4S Courier Services,,,False,,,Mary Wangeci,G4S Courier Services,2022-09-28T18:17:48,2026-01-28T08:49:53
GALAXY TERRAZZO TILE HARDWARE,,GALAXY TERRAZZO TILE HARDWARE,,,False,,,Mary Wangeci,GALAXY TERRAZZO TILE HARDWARE,2025-03-10T10:23:28,2025-03-10T10:23:28
Galitos,,Galitos,,,False,,,Samuel Muchemi,Galitos,2022-09-28T18:17:48,2022-09-28T18:17:48
Gambella Agencies P051616224D,,,,,False,,,Mary Wangeci,Gambella Agencies P051616224D,2024-02-08T09:18:11,2024-02-08T09:18:11
Garissa Coach,,Garissa  Coach,,,False,,,Samuel Muchemi,Garissa Coach,2022-09-28T18:17:48,2022-09-28T18:17:48
GASCOM PETROLEUM LIMITED P051428790T,,GASCOM PETROLEUM LIMITED P051428790T,,,False,,,Mary Wangeci,GASCOM PETROLEUM LIMITED P051428790T,2023-05-30T09:52:37,2023-05-30T09:52:37
Gascom Petroleum Ltd P051428790T,,Gascom Petroleum Ltd P051428790T,,,False,,,Samuel Muchemi,Gascom Petroleum Ltd P051428790T,2022-09-28T18:17:48,2022-09-28T18:17:48
GAS NET LIMITED P051588124L,,GAS NET LIMITED P051588124L,,,False,,,Mary Wangeci,GAS NET LIMITED P051588124L,2025-07-01T09:39:18,2025-07-01T09:39:18
Gas Welding,,Gas  Welding,,,False,,,Samuel Muchemi,Gas Welding,2022-09-28T18:17:48,2022-09-28T18:17:48
GASZED INTERNATIONAL P051635779Z,,,,,False,,,Mary Wangeci,GASZED INTERNATIONAL P051635779Z,2023-08-02T09:26:37,2023-08-02T09:26:37
GATEWAY INVESTMENT,,,,,False,,,Mary Wangeci,GATEWAY INVESTMENT,2024-07-05T11:47:04,2024-07-05T11:47:04
Gemspring Water Refilling Station,,Gemspring Water Refilling Station,,,False,,,Mary Wangeci,Gemspring Water Refilling Station,2022-11-03T13:14:15,2022-11-03T13:14:15
General Plastics Limited,,General Plastics Limited,,0723347753,False,,-168200.0,Samuel Muchemi,General Plastics Limited,2022-09-28T18:17:48,2025-07-23T10:06:11
GENUINE AUTOSPARES,,GENUINE  AUTOSPARES,,,False,,,Samuel Muchemi,GENUINE AUTOSPARES,2022-09-28T18:17:48,2022-09-28T18:17:48
GEORGE KAMANDE,,,,,False,,,Mary Wangeci,GEORGE KAMANDE,2024-09-02T12:17:40,2024-09-02T12:17:40
German Spares,,German  Spares,,,False,,,Samuel Muchemi,German Spares,2022-09-28T18:17:48,2022-09-28T18:17:48
GICHEHA JOSEPH,,GICHEHA  JOSEPH,,,False,,,Mary Wangeci,GICHEHA JOSEPH,2025-10-02T13:23:22,2025-10-02T13:23:22
Gigiri Total Service Station A005337541T,,Gigiri Total Service Station A005337541T,,,False,,,Samuel Muchemi,Gigiri Total Service Station A005337541T,2022-09-28T18:17:49,2022-09-28T18:17:49
Gikomba Market,,Gikomba  Market,,0710904803,False,,,Samuel Muchemi,Gikomba Market,2022-09-28T18:17:49,2023-01-13T10:42:35
GK HRDWARE-KERUGOYA,,GK  HRDWARE-KERUGOYA,,,False,,,Mary Wangeci,GK HRDWARE-KERUGOYA,2025-03-10T10:39:47,2025-03-10T10:39:47
GLOBAL HOLDINDS LTD P051966954D,,GLOBAL HOLDINDS LTD P051966954D,,,False,,,Mary Wangeci,GLOBAL HOLDINDS LTD P051966954D,2023-05-11T12:38:53,2023-05-11T12:38:53
Goaline Limited,,Goaline Limited,,,False,,,Mary Wangeci,Goaline Limited,2022-11-03T12:01:04,2022-11-03T12:01:04
Goaline Limited P052153295C,,Goaline Limited P052153295C,,,False,,,Mary Wangeci,Goaline Limited P052153295C,2023-02-17T11:41:03,2023-02-17T11:41:03
GOLDEN AUTO SPARES,,GOLDEN AUTO SPARES,,,False,,,Mary Wangeci,GOLDEN AUTO SPARES,2023-05-30T09:56:05,2023-05-30T09:56:05
GOLDEN OUTLETS ENTERPRISES,,GOLDEN OUTLETS ENTERPRISES,,,False,,,Mary Wangeci,GOLDEN OUTLETS ENTERPRISES,2023-05-03T09:41:56,2023-05-03T09:41:56
GRACE NDERITU,,GRACE NDERITU,,,False,,,Mary Wangeci,GRACE NDERITU,2023-04-04T11:29:41,2023-04-04T11:29:41
GREEN AUTO SPARES,,,,,False,,,Mary Wangeci,GREEN AUTO SPARES,2023-06-29T08:38:47,2023-06-29T08:38:47
GREEN REVOLUTION,,GREEN REVOLUTION,Nandyal  27 Maharashtra,9664286750,False,,,Sheila Maina,GREEN REVOLUTION,2023-05-03T09:50:41,2026-03-02T10:13:37
GREEN ROOF LODGE,,GREEN ROOF LODGE,,,False,,,Mary Wangeci,GREEN ROOF LODGE,2025-04-03T11:28:08,2025-04-03T11:28:08
GREGORY NDEGE ADVOCATES,,,,,False,,,Mary Wangeci,GREGORY NDEGE ADVOCATES,2024-03-08T09:43:30,2024-03-08T09:43:30
GROWIT KENYA LTD,,,,0759212024,False,,-58368.0,Sheila Maina,GROWIT KENYA LTD,2024-04-15T14:59:35,2025-07-23T10:06:04
GULF ENERGY,,GULF  ENERGY,,,False,,,Samuel Muchemi,GULF ENERGY,2022-09-28T18:17:49,2022-09-28T18:17:49
GURU DEBT MANAGEMENT,,GURU DEBT MANAGEMENT,,,False,,,Mary Wangeci,GURU DEBT MANAGEMENT,2023-03-29T09:11:55,2023-03-29T09:11:55
HADA AUTOMOBILES,,HADA  AUTOMOBILES,,,False,,,Samuel Muchemi,HADA AUTOMOBILES,2022-09-28T18:17:49,2022-09-28T18:17:49
HAILLE SELLASIE SERVICE STATION,,,,,False,,,Mary Wangeci,HAILLE SELLASIE SERVICE STATION,2024-07-01T11:36:19,2024-07-01T11:36:19
HAJORYPLY TIMBER & HARDWARE LTD,,HAJORYPLY TIMBER & HARDWARE LTD,,,False,,,Mary Wangeci,HAJORYPLY TIMBER & HARDWARE LTD,2023-05-24T11:34:38,2023-05-24T11:34:38
HALIFAX REAL ESTATE AGENCY,,HALIFAX REAL ESTATE AGENCY,,,False,,,Samuel Muchemi,HALIFAX REAL ESTATE AGENCY,2022-09-28T18:17:49,2022-09-28T18:17:49
Hanny General Hardware,,Hanny General Hardware,,,False,,,Samuel Muchemi,Hanny General Hardware,2022-09-28T18:17:49,2022-09-28T18:17:49
HAPPY FEEDS,,HAPPY  FEEDS,,,False,,,Samuel Muchemi,HAPPY FEEDS,2022-09-28T18:17:49,2022-09-28T18:17:49
HASS GIRE LIMITED P052444322U,,HASS GIRE LIMITED P052444322U,,,False,,,Mary Wangeci,HASS GIRE LIMITED P052444322U,2025-08-06T15:17:46,2025-08-06T15:17:46
Hastin Patel Ltd P051681671I,,Hastin Patel Ltd P051681671I,,,False,,,Samuel Muchemi,Hastin Patel Ltd P051681671I,2022-09-28T18:17:50,2022-09-28T18:17:50
HENRY .O.OMUSE,,HENRY  .O.OMUSE,,,False,,,Mary Wangeci,HENRY .O.OMUSE,2025-06-05T10:23:34,2025-06-05T10:23:34
HEYKAL INVESTMENT LIMITED P051600986L,,,,,False,,,Mary Wangeci,HEYKAL INVESTMENT LIMITED P051600986L,2024-02-08T08:46:39,2024-02-08T08:46:39
Heykal Investment P051600986L,,Heykal Investment P051600986L,,,False,,,Samuel Muchemi,Heykal Investment P051600986L,2022-09-28T18:17:50,2022-09-28T18:17:50
Heze Auto,,Heze Auto,,,False,,,Mary Wangeci,Heze Auto,2022-11-03T11:41:28,2022-11-03T11:41:28
HIGHWAY HOLDINGS LTD,,HIGHWAY HOLDINGS LTD,,,False,,,Samuel Muchemi,HIGHWAY HOLDINGS LTD,2022-09-28T18:17:50,2022-09-28T18:17:50
HIGHWAY HOLDINGS LTD P051534551F,,,,,False,,,Mary Wangeci,HIGHWAY HOLDINGS LTD P051534551F,2024-10-02T13:58:56,2024-10-02T13:58:56
Hiraan Oil,,Hiraan  Oil,,,False,,,Samuel Muchemi,Hiraan Oil,2022-09-28T18:17:50,2022-09-28T18:17:50
HOMEBEST HEALTH FOOD LTD P052024553V,,HOMEBEST HEALTH FOOD LTD P052024553V,,,False,,,Mary Wangeci,HOMEBEST HEALTH FOOD LTD P052024553V,2023-03-03T09:47:56,2025-11-13T09:19:37
Hope general supplies,,Hope general supplies,,,False,,,Samuel Muchemi,Hope general supplies,2022-09-28T18:17:50,2022-09-28T18:17:50
HORIZON INN,,HORIZON  INN,,,False,,,Mary Wangeci,HORIZON INN,2025-04-03T11:26:18,2025-04-03T11:26:18
HORNBILL BAR & RESTAURANT,,HORNBILL BAR & RESTAURANT,,,False,,,Mary Wangeci,HORNBILL BAR & RESTAURANT,2023-05-10T12:13:49,2023-05-10T12:13:49
HortiCrop Research Ltd,,,,,False,,,Mary Wangeci,HortiCrop Research Ltd,2023-02-03T09:22:14,2023-04-04T09:51:09
HOST AFRICA P051180311A,,,,,False,,,Mary Wangeci,HOST AFRICA P051180311A,2024-05-31T09:59:05,2024-05-31T09:59:05
HURLINGHAM TOTAL SERVICE STATION P051585526L,,,,,False,,,Mary Wangeci,HURLINGHAM TOTAL SERVICE STATION P051585526L,2024-07-01T10:50:55,2024-07-01T10:50:55
HYPERTECH FIBER,,HYPERTECH  FIBER,,,False,,,Mary Wangeci,HYPERTECH FIBER,2026-04-08T09:19:12,2026-04-08T09:19:12
HYRAX SHELL STATION NAKURU P051243628W,,HYRAX SHELL STATION NAKURU P051243628W,,,False,,,Mary Wangeci,HYRAX SHELL STATION NAKURU P051243628W,2023-06-08T15:02:29,2023-06-08T15:02:29
ICARE INTERNATIONAL LTD,,ICARE INTERNATIONAL LTD,,,False,,,Samuel Muchemi,ICARE INTERNATIONAL LTD,2022-09-28T18:17:50,2022-09-28T18:17:50
IDF,,IDF,,,False,,,Mary Wangeci,IDF,2023-02-17T11:49:32,2023-02-17T11:49:32
IKEA UNIFORM,,IKEA UNIFORM,,,False,,,Mary Wangeci,IKEA UNIFORM,2023-05-03T09:44:11,2023-05-03T09:44:11
ILADE OIL COMPANY LTD P05118374C,,,,,False,,,Mary Wangeci,ILADE OIL COMPANY LTD P05118374C,2023-10-31T08:52:20,2023-10-31T08:52:20
IMMAX ELECTRICAL SALES,,IMMAX ELECTRICAL SALES,,,False,,,Samuel Muchemi,IMMAX ELECTRICAL SALES,2022-09-28T18:17:50,2022-09-28T18:17:50
IMPALA DOWNTOWN LTD P051138226W,,,,,False,,,Mary Wangeci,IMPALA DOWNTOWN LTD P051138226W,2023-09-28T09:18:49,2023-09-28T09:18:49
IMPEX PETROLEUM P051698295G,,IMPEX PETROLEUM P051698295G,,,False,,,Mary Wangeci,IMPEX PETROLEUM P051698295G,2023-03-29T15:26:13,2023-03-29T15:26:13
INDEMNITY INSURANCE,,INDEMNITY  INSURANCE,,,False,,,Samuel Muchemi,INDEMNITY INSURANCE,2022-09-28T18:17:50,2022-09-28T18:17:50
Infinite Service Station Ltd,,Infinite Service Station Ltd,,,False,,,Samuel Muchemi,Infinite Service Station Ltd,2022-09-28T18:17:50,2022-09-28T18:17:50
Infinite Service Station Ltd P051878678L,,,,,False,,,Mary Wangeci,Infinite Service Station Ltd P051878678L,2023-08-14T12:11:44,2023-08-14T12:11:44
INHOUSE CREATIVE BRANDING,,,,,False,,,Mary Wangeci,INHOUSE CREATIVE BRANDING,2024-03-07T11:38:47,2024-03-07T11:38:47
INMAX ELECTRICAL SALES,,INMAX ELECTRICAL SALES,,,False,,,Samuel Muchemi,INMAX ELECTRICAL SALES,2022-09-28T18:17:50,2022-09-28T18:17:50
INTERSTART LIMITED  P051304357A,,,,,False,,,Mary Wangeci,INTERSTART LIMITED  P051304357A,2025-06-19T09:55:00,2025-06-19T09:55:00
INTUIT QUICKBOOKS,,,,,False,,,Mary Wangeci,INTUIT QUICKBOOKS,2023-11-02T11:42:27,2023-11-02T11:42:27
IPM EFFECTIVE TECHNOLOGY,,IPM EFFECTIVE TECHNOLOGY,,,False,,,Mary Wangeci,IPM EFFECTIVE TECHNOLOGY,2023-04-27T15:53:20,2023-04-27T15:53:20
IQRA SAFARICOM SHOP,,IQRA SAFARICOM SHOP,,,False,,,Mary Wangeci,IQRA SAFARICOM SHOP,2023-02-28T12:38:06,2023-02-28T12:38:06
Isca Technologies Inc,,Isca Technologies Inc,,9516865008,False,,,Samuel Muchemi,Isca Technologies Inc,2022-09-28T18:17:51,2022-09-28T18:17:51
ITHANGA LEATHER,,ITHANGA  LEATHER,,,False,,,Samuel Muchemi,ITHANGA LEATHER,2022-09-28T18:17:51,2022-09-28T18:17:51
JAMES AGROPEST,,,,,False,,,Mary Wangeci,JAMES AGROPEST,2026-08-04T11:43:44,2026-08-04T11:43:44
JAMU MATERIAL SUPPLIER,,JAMU MATERIAL SUPPLIER,,,False,,,Mary Wangeci,JAMU MATERIAL SUPPLIER,2023-04-28T12:03:02,2023-04-28T12:03:02
JANE TAMA,,,,,False,,,Mary Wangeci,JANE TAMA,2023-09-29T12:58:22,2023-09-29T12:58:22
JANE WANJIRU,,JANE  WANJIRU,,,False,,,Samuel Muchemi,JANE WANJIRU,2022-09-28T18:17:51,2022-09-28T18:17:51
Janian Enterprises Ltd P051517761P,,Janian Enterprises Ltd P051517761P,,,False,,,Mary Wangeci,Janian Enterprises Ltd P051517761P,2022-11-03T13:10:55,2022-11-03T13:10:55
