Full Name,Account Type,Account Subtype,Description,Total Balance,Currency,Account
Office Expense:Telephone Expenses,Expenses,Office/General Administrative Expenses,,,KES,Telephone Expenses
Office Expense:Telephone Expenses:Airtime,Expenses,Office/General Administrative Expenses,,,KES,Airtime
Office Expense:Toiletries,Expenses,Office/General Administrative Expenses,,,KES,Toiletries
OPERATING EXPENSES,Expenses,Office/General Administrative Expenses,,,KES,OPERATING EXPENSES
OPERATING EXPENSES:Accountancy fee,Expenses,Office/General Administrative Expenses,,,KES,Accountancy fee
OPERATING EXPENSES:Audit Fees,Expenses,Office/General Administrative Expenses,,,KES,Audit Fees
OPERATING EXPENSES:Consultancy Fee,Expenses,Office/General Administrative Expenses,,,KES,Consultancy Fee
OPERATING EXPENSES:Legal fees,Expenses,Office/General Administrative Expenses,,,KES,Legal fees
OPERATING EXPENSES:Professional Fees,Expenses,Office/General Administrative Expenses,,,KES,Professional Fees
OPERATING EXPENSES:Training Expenses,Expenses,Office/General Administrative Expenses,,,KES,Training Expenses
Production Expenses,Expenses,Office/General Administrative Expenses,,,KES,Production Expenses
Production Expenses:Bacteriology Expenses,Expenses,Office/General Administrative Expenses,,,KES,Bacteriology Expenses
Production Expenses:Bait Unit Production,Expenses,Office/General Administrative Expenses,,,KES,Bait Unit Production
Production Expenses:Bait Unit Production:Bait heater,Expenses,Office/General Administrative Expenses,,,KES,Bait heater
Production Expenses:Bait Unit Production:Bait Tin,Expenses,Office/General Administrative Expenses,,,KES,Bait Tin
Production Expenses:Bait Unit Production:pawpaw,Expenses,Office/General Administrative Expenses,,,KES,pawpaw
Production Expenses:Bait Unit Production:Yeast,Expenses,Office/General Administrative Expenses,,,KES,Yeast
Production Expenses:BiopesticidesExpenses,Expenses,Office/General Administrative Expenses,,,KES,BiopesticidesExpenses
Production Expenses:BiopesticidesExpenses:aluminium foil,Expenses,Office/General Administrative Expenses,aluminium foil,,KES,aluminium foil
Production Expenses:BiopesticidesExpenses:Ammonium Accetate,Expenses,Office/General Administrative Expenses,,,KES,Ammonium Accetate
Production Expenses:BiopesticidesExpenses:Baking Powder,Expenses,Office/General Administrative Expenses,,,KES,Baking Powder
Production Expenses:BiopesticidesExpenses:Basins,Expenses,Office/General Administrative Expenses,,,KES,Basins
Production Expenses:BiopesticidesExpenses:Bi-carbonate,Expenses,Office/General Administrative Expenses,,,KES,Bi-carbonate
Production Expenses:BiopesticidesExpenses:Chrolamphenical,Expenses,Office/General Administrative Expenses,,,KES,Chrolamphenical
Production Expenses:BiopesticidesExpenses:Cotton wool,Expenses,Office/General Administrative Expenses,Cotton wool,,KES,Cotton wool
Production Expenses:BiopesticidesExpenses:Ethanol,Expenses,Office/General Administrative Expenses,,,KES,Ethanol
Production Expenses:BiopesticidesExpenses:Food Color,Expenses,Office/General Administrative Expenses,,,KES,Food Color
Production Expenses:BiopesticidesExpenses:Fridge Guard,Expenses,Office/General Administrative Expenses,,,KES,Fridge Guard
Production Expenses:BiopesticidesExpenses:Glass petri dish,Expenses,Office/General Administrative Expenses,,,KES,Glass petri dish
Production Expenses:BiopesticidesExpenses:Honey,Expenses,Office/General Administrative Expenses,,,KES,Honey
Production Expenses:BiopesticidesExpenses:lubricant,Expenses,Office/General Administrative Expenses,,,KES,lubricant
Production Expenses:BiopesticidesExpenses:Maize Flour,Expenses,Office/General Administrative Expenses,,,KES,Maize Flour
Production Expenses:BiopesticidesExpenses:Maize Meal,Expenses,Office/General Administrative Expenses,,,KES,Maize Meal
Production Expenses:BiopesticidesExpenses:Milk Powder,Expenses,Office/General Administrative Expenses,,,KES,Milk Powder
Production Expenses:BiopesticidesExpenses:Milner bags,Expenses,Office/General Administrative Expenses,,,KES,Milner bags
Production Expenses:BiopesticidesExpenses:Milner Bags Filter,Expenses,Office/General Administrative Expenses,,,KES,Milner Bags Filter
Production Expenses:BiopesticidesExpenses:Paper Towel,Expenses,Office/General Administrative Expenses,,,KES,Paper Towel
Production Expenses:BiopesticidesExpenses:Peptone,Expenses,Office/General Administrative Expenses,,,KES,Peptone
Production Expenses:BiopesticidesExpenses:Polythene bag,Expenses,Office/General Administrative Expenses,,,KES,Polythene bag
Production Expenses:BiopesticidesExpenses:Respirators,Expenses,Office/General Administrative Expenses,,,KES,Respirators
Production Expenses:BiopesticidesExpenses:Rice,Expenses,Office/General Administrative Expenses,,,KES,Rice
Production Expenses:BiopesticidesExpenses:Rice Miller,Expenses,Office/General Administrative Expenses,,,KES,Rice Miller
Production Expenses:BiopesticidesExpenses:Sobic Acid,Expenses,Office/General Administrative Expenses,,,KES,Sobic Acid
Production Expenses:BiopesticidesExpenses:Sodium Bicarbonate,Expenses,Office/General Administrative Expenses,,,KES,Sodium Bicarbonate
Production Expenses:BiopesticidesExpenses:Soy Lecithin,Expenses,Office/General Administrative Expenses,,,KES,Soy Lecithin
Production Expenses:BiopesticidesExpenses:Spirit Lamp,Expenses,Office/General Administrative Expenses,,,KES,Spirit Lamp
Production Expenses:BiopesticidesExpenses:Sprayer,Expenses,Office/General Administrative Expenses,,,KES,Sprayer
Production Expenses:BiopesticidesExpenses:Strainer,Expenses,Office/General Administrative Expenses,Strainer,,KES,Strainer
Production Expenses:BiopesticidesExpenses:Streptomycin Sulphate,Expenses,Office/General Administrative Expenses,,,KES,Streptomycin Sulphate
Production Expenses:BiopesticidesExpenses:Tween 80,Expenses,Office/General Administrative Expenses,,,KES,Tween 80
Production Expenses:BiopesticidesExpenses:Wax,Expenses,Office/General Administrative Expenses,,,KES,Wax
Production Expenses:BiopesticidesExpenses:Yeast Extract,Expenses,Office/General Administrative Expenses,,,KES,Yeast Extract
Production Expenses:millet,Expenses,Office/General Administrative Expenses,,,KES,millet
Production Expenses:Other Productions,Expenses,Office/General Administrative Expenses,,,KES,Other Productions
Production Expenses:Other Productions:batch stamp,Expenses,Office/General Administrative Expenses,,,KES,batch stamp
Production Expenses:Other Productions:celltape,Expenses,Office/General Administrative Expenses,,,KES,celltape
Production Expenses:Other Productions:Galvanised Wires,Expenses,Office/General Administrative Expenses,,,KES,Galvanised Wires
Production Expenses:Other Productions:Gloves,Expenses,Office/General Administrative Expenses,,,KES,Gloves
Production Expenses:Other Productions:needles,Expenses,Office/General Administrative Expenses,,,KES,needles
Production Expenses:Other Productions:Packing Tape,Expenses,Office/General Administrative Expenses,,,KES,Packing Tape
Production Expenses:Other Productions:Pipette,Expenses,Office/General Administrative Expenses,Pipette,,KES,Pipette
Production Expenses:Other Productions:Premium Ink,Expenses,Office/General Administrative Expenses,,,KES,Premium Ink
Production Expenses:Other Productions:Production Labour,Expenses,Office/General Administrative Expenses,,,KES,Production Labour
Production Expenses:Other Productions:Ropes,Expenses,Office/General Administrative Expenses,,,KES,Ropes
Production Expenses:Other Productions:Rubber Bands,Expenses,Office/General Administrative Expenses,,,KES,Rubber Bands
Production Expenses:Other Productions:Scissors,Expenses,Office/General Administrative Expenses,,,KES,Scissors
Production Expenses:Other Productions:Surgical Masks,Expenses,Office/General Administrative Expenses,,,KES,Surgical Masks
Production Expenses:Other Productions:Threads,Expenses,Office/General Administrative Expenses,,,KES,Threads
Production Expenses:Other Productions:Turpentine,Expenses,Office/General Administrative Expenses,,,KES,Turpentine
Production Expenses:Other Productions:Velvex Cling Film,Expenses,Office/General Administrative Expenses,,,KES,Velvex Cling Film
Production Expenses; Jik,Expenses,Advertising/Promotional,,,KES,Production Expenses; Jik
Production Expenses; strainer,Expenses,Finance costs,,,KES,Production Expenses; strainer
Purchase Orders,Expenses,Office/General Administrative Expenses,,,KES,Purchase Orders
Rent and Rates,Expenses,Office/General Administrative Expenses,,,KES,Rent and Rates
Rent and Rates:Rates,Expenses,Office/General Administrative Expenses,,,KES,Rates
Rent and Rates:Rent,Expenses,Office/General Administrative Expenses,,,KES,Rent
Repairs and Maintenance,Expenses,Repair and maintenance,,,KES,Repairs and Maintenance
Repairs and Maintenance:Electrical Materials,Expenses,Office/General Administrative Expenses,,,KES,Electrical Materials
Repairs and Maintenance:Furniture and Fixtures,Expenses,Office/General Administrative Expenses,,,KES,Furniture and Fixtures
Repairs and Maintenance:Jogoo Road office,Expenses,Office/General Administrative Expenses,,,KES,Jogoo Road office
Repairs and Maintenance:Machine Repairs,Expenses,Office/General Administrative Expenses,,,KES,Machine Repairs
Repairs and Maintenance:Phone Repair,Expenses,Office/General Administrative Expenses,,,KES,Phone Repair
Repairs and Maintenance:Sunny Godowns office,Expenses,Office/General Administrative Expenses,,,KES,Sunny Godowns office
Repairs and Maintenance:Wiring and conduiting,Expenses,Office/General Administrative Expenses,,,KES,Wiring and conduiting
Reserach and Development,Expenses,Office/General Administrative Expenses,,,KES,Reserach and Development
Reserach and Development:Avocado Trials,Expenses,Office/General Administrative Expenses,,,KES,Avocado Trials
Reserach and Development:Avocado Trials:Hass Seedlings,Expenses,Office/General Administrative Expenses,,,KES,Hass Seedlings
Reserach and Development:Avocado Trials:Labour,Expenses,Office/General Administrative Expenses,,,KES,Labour
Reserach and Development:Avocado Trials:Manure,Expenses,Office/General Administrative Expenses,,,KES,Manure
Reserach and Development:Biopesticide Trials,Expenses,Office/General Administrative Expenses,,,KES,Biopesticide Trials
Reserach and Development:FCM Trials,Expenses,Office/General Administrative Expenses,,,KES,FCM Trials
Reserach and Development:KHE trials,Expenses,Office/General Administrative Expenses,,,KES,KHE trials
Running & Maintenance Expenses,Expenses,Office/General Administrative Expenses,,,KES,Running & Maintenance Expenses
Running & Maintenance Expenses:Generator Expenses,Expenses,Office/General Administrative Expenses,,,KES,Generator Expenses
Sagana Demo Farm,Expenses,Office/General Administrative Expenses,,,KES,Sagana Demo Farm
Sagana Demo Farm:Accomodation Facilitation,Expenses,Office/General Administrative Expenses,,,KES,Accomodation Facilitation
Sagana Demo Farm:Adminstrative facilitation,Expenses,Office/General Administrative Expenses,,,KES,Adminstrative facilitation
Sagana Demo Farm:Ballast,Expenses,Office/General Administrative Expenses,,,KES,Ballast
Sagana Demo Farm:Barbed wire,Expenses,Office/General Administrative Expenses,,,KES,Barbed wire
Sagana Demo Farm:Bricks,Expenses,Office/General Administrative Expenses,,,KES,Bricks
Sagana Demo Farm:Building materials,Expenses,Office/General Administrative Expenses,,,KES,Building materials
Sagana Demo Farm:Cement,Expenses,Office/General Administrative Expenses,,,KES,Cement
Sagana Demo Farm:Concrete Poles,Expenses,Office/General Administrative Expenses,,,KES,Concrete Poles
Sagana Demo Farm:Field toilet & accessories,Expenses,Office/General Administrative Expenses,,,KES,Field toilet & accessories
Sagana Demo Farm:Galvanised Wire,Expenses,Office/General Administrative Expenses,,,KES,Galvanised Wire
Sagana Demo Farm:Gate Fabrication,Expenses,Office/General Administrative Expenses,,,KES,Gate Fabrication
Sagana Demo Farm:Generator Expense,Expenses,Office/General Administrative Expenses,,,KES,Generator Expense
Sagana Demo Farm:Hired cutting machine,Expenses,Office/General Administrative Expenses,,,KES,Hired cutting machine
Sagana Demo Farm:Hired Drilling machine,Expenses,Office/General Administrative Expenses,,,KES,Hired Drilling machine
Sagana Demo Farm:Labour,Expenses,Office/General Administrative Expenses,,,KES,Labour
Sagana Demo Farm:Nails,Expenses,Office/General Administrative Expenses,,,KES,Nails
Sagana Demo Farm:Pipes,Expenses,Office/General Administrative Expenses,,,KES,Pipes
Sagana Demo Farm:plumbing labour,Expenses,Office/General Administrative Expenses,,,KES,plumbing labour
Sagana Demo Farm:Plumbing materials,Expenses,Office/General Administrative Expenses,,,KES,Plumbing materials
Sagana Demo Farm:Sand,Expenses,Office/General Administrative Expenses,,,KES,Sand
Sagana Demo Farm:Scissors,Expenses,Office/General Administrative Expenses,,,KES,Scissors
Sagana Demo Farm:steel,Expenses,Office/General Administrative Expenses,,,KES,steel
Sagana Demo Farm:Tensioner,Expenses,Office/General Administrative Expenses,,,KES,Tensioner
Sagana Demo Farm:Transport Facilitation,Expenses,Office/General Administrative Expenses,,,KES,Transport Facilitation
Salaries,Expenses,Office/General Administrative Expenses,,,KES,Salaries
Salaries:Bonus,Expenses,Payroll Expenses,,,KES,Bonus
Salaries:Housing Levy,Expenses,Office/General Administrative Expenses,,,KES,Housing Levy
Salaries:NHIF,Expenses,Office/General Administrative Expenses,,,KES,NHIF
Salaries:NITA,Expenses,Office/General Administrative Expenses,,,KES,NITA
Salaries:NSSF,Expenses,Office/General Administrative Expenses,,,KES,NSSF
Salaries:PAYE,Expenses,Office/General Administrative Expenses,,,KES,PAYE
Salaries:salary advance,Expenses,Office/General Administrative Expenses,,,KES,salary advance
Salaries:SHA,Expenses,Office/General Administrative Expenses,,,KES,SHA
Salaries:Staff Development A/C,Expenses,Payroll Expenses,,,KES,Staff Development A/C
Salaries:Staff Salaries,Expenses,Office/General Administrative Expenses,,,KES,Staff Salaries
Salaries:STIMA SACCO,Expenses,Office/General Administrative Expenses,,,KES,STIMA SACCO
Salaries:Welfare,Expenses,Office/General Administrative Expenses,,,KES,Welfare
Sales and Marketing,Expenses,Office/General Administrative Expenses,,,KES,Sales and Marketing
Sales and Marketing:Accomodation,Expenses,Office/General Administrative Expenses,,,KES,Accomodation
Sales and Marketing:Branding,Expenses,Office/General Administrative Expenses,,,KES,Branding
Sales and Marketing:Business Cards,Expenses,Office/General Administrative Expenses,,,KES,Business Cards
Sales and Marketing:Courier fee,Expenses,Office/General Administrative Expenses,,,KES,Courier fee
Sales and Marketing:Exhibition fee,Expenses,Advertising/Promotional,,,KES,Exhibition fee
Sales and Marketing:Farmers Training Expenses,Expenses,Office/General Administrative Expenses,,,KES,Farmers Training Expenses
Sales and Marketing:Flyers and Brochures,Expenses,Office/General Administrative Expenses,,,KES,Flyers and Brochures
Sales and Marketing:Marketing Expenses,Expenses,Office/General Administrative Expenses,,,KES,Marketing Expenses
Sales and Marketing:Meals,Expenses,Office/General Administrative Expenses,,,KES,Meals
Sales and Marketing:Meeting Facilitation,Expenses,Office/General Administrative Expenses,,,KES,Meeting Facilitation
Sales and Marketing:Promoters Expenses,Expenses,Office/General Administrative Expenses,,,KES,Promoters Expenses
Sales and Marketing:Promotion Materials,Expenses,Office/General Administrative Expenses,,,KES,Promotion Materials
Sales and Marketing:Samples,Expenses,Office/General Administrative Expenses,,,KES,Samples
Sales and Marketing:Staff Cards,Expenses,Advertising/Promotional,,,KES,Staff Cards
Sales and Marketing:Training Table,Expenses,Office/General Administrative Expenses,,,KES,Training Table
Sales and Marketing:Training Tent,Expenses,Office/General Administrative Expenses,,,KES,Training Tent
Sales and Marketing:Transport Facilitation,Expenses,Office/General Administrative Expenses,,,KES,Transport Facilitation
Sales and Marketing:Videographer,Expenses,Office/General Administrative Expenses,,,KES,Videographer
Security Expenses,Expenses,Office/General Administrative Expenses,,,KES,Security Expenses
Security Expenses:Dog Expenses,Expenses,Office/General Administrative Expenses,,,KES,Dog Expenses
Security Expenses:Security Torch,Expenses,Office/General Administrative Expenses,,,KES,Security Torch
TECHNOLOGY EXPENSES,Expenses,Office/General Administrative Expenses,,,KES,TECHNOLOGY EXPENSES
TECHNOLOGY EXPENSES:Bulk sms,Expenses,Office/General Administrative Expenses,,,KES,Bulk sms
Travelling Expenses,Expenses,Office/General Administrative Expenses,,,KES,Travelling Expenses
Travelling Expenses:International Travel,Expenses,Office/General Administrative Expenses,,,KES,International Travel
Travelling Expenses:Local Travel,Expenses,Office/General Administrative Expenses,,,KES,Local Travel
Unapplied Cash Bill Payment Expense,Expenses,Unapplied Cash Bill Payment Expense,,,KES,Unapplied Cash Bill Payment Expense
Uncategorised Expense,Expenses,Other Miscellaneous Service Cost,,,KES,Uncategorised Expense
Utilities,Expenses,Utilities,,,KES,Utilities
Utilities:Electricity,Expenses,Office/General Administrative Expenses,,,KES,Electricity
Utilities:Water,Expenses,Office/General Administrative Expenses,,,KES,Water
VAT Liability,Expenses,Office/General Administrative Expenses,,,KES,VAT Liability
Welding,Expenses,Office/General Administrative Expenses,,,KES,Welding
Welding:Welding Materials,Expenses,Office/General Administrative Expenses,,,KES,Welding Materials
WHT,Expenses,Taxes Paid,,,KES,WHT
Withholding Tax,Expenses,Office/General Administrative Expenses,,,KES,Withholding Tax
Dividend income,Other Income,Dividend income,,,KES,Dividend income
Interest income,Other Income,Interest earned,,,KES,Interest income
Loss on disposal of assets,Other Income,Loss on disposal of assets,,,KES,Loss on disposal of assets
Other operating income (expenses),Other Income,Other operating income,,,KES,Other operating income (expenses)
"Unrealised loss on securities, net of tax",Other Income,"Unrealised loss on securities, net of tax",,,KES,"Unrealised loss on securities, net of tax"
Depreciation,Other Expense,Depreciation,,,KES,Depreciation
Exchange Gain or Loss-1,Other Expense,Exchange Gain or Loss,,,KES,Exchange Gain or Loss-1
Other Expense,Other Expense,Other Miscellaneous Expense,,,KES,Other Expense
Reconciliation Discrepancies,Other Expense,Other Miscellaneous Expense,,,KES,Reconciliation Discrepancies
